metric,naive_mean,naive_std,grouped_mean,grouped_std,optimism_abs,optimism_pct
roc_auc,0.6728,0.0048,0.672,0.0037,0.0007,0.11
average_precision,0.2302,0.0043,0.2277,0.0133,0.0025,1.11
