group,n_before,tpr_before,selection_rate_before,n_after,tpr_after,selection_rate_after,threshold
0-30,347,0.3,0.04610951008645533,347,0.3,0.07204610951008646,0.545
30-60,4449,0.20679012345679013,0.05799055967633176,4449,0.3055555555555556,0.12879298718813217,0.515
60-80,6632,0.31441717791411045,0.146562123039807,6632,0.3067484662576687,0.14234016887816647,0.595
80+,2570,0.39846743295019155,0.21206225680933852,2570,0.2988505747126437,0.14007782101167315,0.625
