model,roc_auc,pr_auc,brier,recall@0.5,precision@0.5,f1@0.5,best_threshold,recall@best,precision@best,f1@best,cv_pr_auc_mean,cv_pr_auc_std
CatBoost,0.655702557476265,0.18119868613293566,0.20553016360865758,0.5011933174224343,0.15003572279114075,0.23093841642228738,0.5920071082215366,0.3038981702466189,0.21328866554997208,0.25065616797900264,0.1767397221518229,0.009418730952564992
XGBoost,0.6516790643926857,0.17904713613988538,0.2039184272289276,0.4996022275258552,0.146866230121609,0.2270016266040123,0.558637261390686,0.36595067621320604,0.17671917018824435,0.23834196891191714,0.17410985493352454,0.010194530626877897
Random Forest,0.6556866353381428,0.1772318774825979,0.1932162397782716,0.4184566428003182,0.16499372647427854,0.23667041619797524,0.5103911524769045,0.38424821002386633,0.17436823104693142,0.23988080456915817,0.1679572861965264,0.007558250311607529
LightGBM,0.644862141445157,0.17714362046528698,0.18677797451603984,0.4335719968178202,0.15164162493043962,0.22469593898165327,0.5523923238974005,0.3261734287987271,0.18319928507596067,0.23462088698140204,0.17042329253068805,0.008172692128784059
Logistic Regression,0.6505800622237159,0.16921783795508855,0.22784362303112354,0.5306284805091488,0.13951056264379838,0.22093408413381915,0.598366139062353,0.32537788385043753,0.18874019381633594,0.23890186915887845,0.1672569788165928,0.00987082985173514
